@relation 'german_credit-weka.filters.unsupervised.attribute.RenameAttribute-find([\\s\\S]+)-replacecredit-Rlast-weka.filters.unsupervised.attribute.Copy-R13-weka.filters.unsupervised.attribute.Discretize-B6-M-1.0-Rlast-precision6-weka.filters.unsupervised.attribute.RenameAttribute-find([\\s\\S]+)-replaceageDisc5-Rlast-weka.filters.unsupervised.attribute.Copy-R13-weka.filters.unsupervised.attribute.RenameAttribute-find([\\s\\S]+)-replaceageDisc9-Rlast-weka.filters.unsupervised.attribute.Discretize-B10-M-1.0-Rlast-precision6-weka.filters.unsupervised.attribute.Copy-R13-weka.filters.unsupervised.attribute.RenameAttribute-find([\\s\\S]+)-replaceageDisc19-Rlast-weka.filters.unsupervised.attribute.Discretize-B20-M-1.0-Rlast-precision6-weka.filters.unsupervised.attribute.Copy-R13-weka.filters.unsupervised.attribute.RenameAttribute-find([\\s\\S]+)-replaceageDiscPKIDiscretize-Rlast-weka.filters.unsupervised.attribute.PKIDiscretize-Rlast-weka.filters.unsupervised.attribute.PKIDiscretize-Rlast-weka.filters.unsupervised.attribute.MergeTwoValues-C14-Ffirst-S2-weka.filters.unsupervised.attribute.Remove-R7-weka.filters.unsupervised.attribute.Remove-R4-weka.filters.unsupervised.attribute.Normalize-S1.0-T0.0'

@attribute checking_status {<0,0<=X<200,>=200,'no checking'}
@attribute duration numeric
@attribute credit_history {'no credits/all paid','all paid','existing paid','delayed previously','critical/other existing credit'}
@attribute credit_amount numeric
@attribute savings_status {<100,100<=X<500,500<=X<1000,>=1000,'no known savings'}
@attribute installment_commitment numeric
@attribute personal_status {'male div/sep','female div/dep/mar','male single','male mar/wid','female single'}
@attribute other_parties {none,'co applicant',guarantor}
@attribute residence_since numeric
@attribute property_magnitude {'real estate','life insurance',car,'no known property'}
@attribute age numeric
@attribute other_payment_plans {bank_stores,none}
@attribute housing {rent,own,'for free'}
@attribute existing_credits numeric
@attribute job {'unemp/unskilled non res','unskilled resident',skilled,'high qualif/self emp/mgmt'}
@attribute num_dependents numeric
@attribute own_telephone {none,yes}
@attribute foreign_worker {yes,no}
@attribute credit {good,bad}
@attribute ageDisc5 {'\'(-inf-28.333333]\'','\'(28.333333-37.666667]\'','\'(37.666667-47]\'','\'(47-56.333333]\'','\'(56.333333-65.666667]\'','\'(65.666667-inf)\''}
@attribute ageDisc9 {'\'(-inf-24.6]\'','\'(24.6-30.2]\'','\'(30.2-35.8]\'','\'(35.8-41.4]\'','\'(41.4-47]\'','\'(47-52.6]\'','\'(52.6-58.2]\'','\'(58.2-63.8]\'','\'(63.8-69.4]\'','\'(69.4-inf)\''}
@attribute ageDisc19 {'\'(-inf-21.8]\'','\'(21.8-24.6]\'','\'(24.6-27.4]\'','\'(27.4-30.2]\'','\'(30.2-33]\'','\'(33-35.8]\'','\'(35.8-38.6]\'','\'(38.6-41.4]\'','\'(41.4-44.2]\'','\'(44.2-47]\'','\'(47-49.8]\'','\'(49.8-52.6]\'','\'(52.6-55.4]\'','\'(55.4-58.2]\'','\'(58.2-61]\'','\'(61-63.8]\'','\'(63.8-66.6]\'','\'(66.6-69.4]\'','\'(69.4-72.2]\'','\'(72.2-inf)\''}
@attribute ageDiscPKIDiscretize {'\'(-inf-21.5]\'','\'(21.5-22.5]\'','\'(22.5-23.5]\'','\'(23.5-24.5]\'','\'(24.5-25.5]\'','\'(25.5-26.5]\'','\'(26.5-27.5]\'','\'(27.5-28.5]\'','\'(28.5-29.5]\'','\'(29.5-30.5]\'','\'(30.5-31.5]\'','\'(31.5-32.5]\'','\'(32.5-33.5]\'','\'(33.5-34.5]\'','\'(34.5-35.5]\'','\'(35.5-36.5]\'','\'(36.5-37.5]\'','\'(37.5-38.5]\'','\'(38.5-39.5]\'','\'(39.5-40.5]\'','\'(40.5-41.5]\'','\'(41.5-42.5]\'','\'(42.5-44.5]\'','\'(44.5-46.5]\'','\'(46.5-48.5]\'','\'(48.5-50.5]\'','\'(50.5-53.5]\'','\'(53.5-56.5]\'','\'(56.5-60.5]\'','\'(60.5-64.5]\'','\'(64.5-inf)\''}

@data
'no checking',0.294118,'delayed previously',0.2437,<100,0.666667,'male single',none,0.666667,car,0.285714,none,own,0.333333,'unskilled resident',0,yes,yes,good,'\'(28.333333-37.666667]\'','\'(30.2-35.8]\'','\'(33-35.8]\'','\'(34.5-35.5]\''
0<=X<200,0.294118,'existing paid',0.156377,100<=X<500,0.666667,'male mar/wid',none,0.333333,car,0.053571,none,rent,0,skilled,0,yes,yes,bad,'\'(-inf-28.333333]\'','\'(-inf-24.6]\'','\'(21.8-24.6]\'','\'(21.5-22.5]\''
<0,0.029412,'existing paid',0.010895,<100,1,'female div/dep/mar',none,1,'life insurance',0.071429,none,own,0,skilled,0,none,yes,bad,'\'(-inf-28.333333]\'','\'(-inf-24.6]\'','\'(21.8-24.6]\'','\'(22.5-23.5]\''
<0,0.073529,'existing paid',0.02223,<100,1,'male single',none,0.666667,car,0.160714,none,own,0,'unskilled resident',0,none,yes,bad,'\'(-inf-28.333333]\'','\'(24.6-30.2]\'','\'(27.4-30.2]\'','\'(27.5-28.5]\''
'no checking',0.029412,'existing paid',0.054363,'no known savings',1,'male single',none,1,'life insurance',0.303571,none,own,0,'high qualif/self emp/mgmt',1,yes,yes,good,'\'(28.333333-37.666667]\'','\'(35.8-41.4]\'','\'(35.8-38.6]\'','\'(35.5-36.5]\''
0<=X<200,0.205882,'critical/other existing credit',0.054749,<100,1,'male mar/wid',none,0.333333,car,0.25,none,own,0,skilled,0,none,yes,bad,'\'(28.333333-37.666667]\'','\'(30.2-35.8]\'','\'(30.2-33]\'','\'(32.5-33.5]\''
<0,0.205882,'no credits/all paid',0.157588,<100,0,'female div/dep/mar',none,1,'life insurance',0.125,none,rent,0,skilled,0,none,yes,bad,'\'(-inf-28.333333]\'','\'(24.6-30.2]\'','\'(24.6-27.4]\'','\'(25.5-26.5]\''
'no checking',0.514706,'existing paid',0.1276,500<=X<1000,1,'male single',none,1,car,0.089286,none,own,0,skilled,0,none,yes,good,'\'(-inf-28.333333]\'','\'(-inf-24.6]\'','\'(21.8-24.6]\'','\'(23.5-24.5]\''
>=200,0.294118,'existing paid',0.269726,<100,1,'male single',none,0.333333,car,0.107143,bank_stores,own,0,skilled,0,none,yes,good,'\'(-inf-28.333333]\'','\'(24.6-30.2]\'','\'(24.6-27.4]\'','\'(24.5-25.5]\''
0<=X<200,0.117647,'existing paid',0.043304,100<=X<500,0.666667,'male single',none,1,'real estate',0.357143,none,own,0,'unskilled resident',0,none,yes,good,'\'(37.666667-47]\'','\'(35.8-41.4]\'','\'(38.6-41.4]\'','\'(38.5-39.5]\''
<0,0.161765,'critical/other existing credit',0.067569,<100,1,'male single',none,1,car,0.446429,none,own,0.333333,skilled,1,yes,yes,good,'\'(37.666667-47]\'','\'(41.4-47]\'','\'(41.4-44.2]\'','\'(42.5-44.5]\''
0<=X<200,0.117647,'critical/other existing credit',0.182844,<100,0,'female div/dep/mar',none,0,'real estate',0.071429,none,own,0,'unskilled resident',0,none,yes,good,'\'(-inf-28.333333]\'','\'(-inf-24.6]\'','\'(21.8-24.6]\'','\'(22.5-23.5]\''
0<=X<200,0.294118,'existing paid',0.052328,<100,1,'male single',none,0,'life insurance',0.125,none,own,0,skilled,0,none,yes,good,'\'(-inf-28.333333]\'','\'(24.6-30.2]\'','\'(24.6-27.4]\'','\'(25.5-26.5]\''
<0,0.382353,'existing paid',0.18554,>=1000,1,'female div/dep/mar',none,1,'life insurance',0.678571,none,rent,0.333333,skilled,0,yes,yes,good,'\'(56.333333-65.666667]\'','\'(52.6-58.2]\'','\'(55.4-58.2]\'','\'(56.5-60.5]\''
'no checking',0.161765,'delayed previously',0.039067,>=1000,0.666667,'female div/dep/mar',none,0.333333,'life insurance',0.196429,none,own,0.333333,skilled,0,none,yes,good,'\'(28.333333-37.666667]\'','\'(24.6-30.2]\'','\'(27.4-30.2]\'','\'(29.5-30.5]\''
'no checking',0.117647,'critical/other existing credit',0.050237,500<=X<1000,1,'male single',none,1,'real estate',0.446429,none,own,0,skilled,0,yes,yes,good,'\'(37.666667-47]\'','\'(41.4-47]\'','\'(41.4-44.2]\'','\'(42.5-44.5]\''
0<=X<200,0.029412,'delayed previously',0.052768,<100,1,'male single',none,1,'life insurance',0.5,none,own,0,'high qualif/self emp/mgmt',0,yes,yes,bad,'\'(37.666667-47]\'','\'(41.4-47]\'','\'(44.2-47]\'','\'(46.5-48.5]\''
'no checking',0.117647,'existing paid',0.155552,<100,0.333333,'male single',none,1,car,0.589286,none,own,0,skilled,0,yes,yes,good,'\'(47-56.333333]\'','\'(47-52.6]\'','\'(49.8-52.6]\'','\'(50.5-53.5]\''
'no checking',0.294118,'existing paid',0.192968,<100,1,'female div/dep/mar','co applicant',1,'no known property',0.767857,none,'for free',0,skilled,0,yes,yes,good,'\'(56.333333-65.666667]\'','\'(58.2-63.8]\'','\'(61-63.8]\'','\'(60.5-64.5]\''
'no checking',0.088235,'existing paid',0.064268,100<=X<500,0.666667,'male single',none,0.333333,'real estate',0.285714,none,rent,0,'unskilled resident',0,none,no,good,'\'(28.333333-37.666667]\'','\'(30.2-35.8]\'','\'(33-35.8]\'','\'(34.5-35.5]\''
'no checking',0.029412,'existing paid',0.179817,<100,0.333333,'male single',guarantor,0.666667,'life insurance',0.125,none,rent,0,skilled,0,none,yes,good,'\'(-inf-28.333333]\'','\'(24.6-30.2]\'','\'(24.6-27.4]\'','\'(25.5-26.5]\''
'no checking',0.117647,'critical/other existing credit',0.09266,<100,0.333333,'male single',none,0.333333,'no known property',0.125,none,own,0.333333,skilled,0,none,yes,good,'\'(-inf-28.333333]\'','\'(24.6-30.2]\'','\'(24.6-27.4]\'','\'(25.5-26.5]\''
0<=X<200,0.338235,'no credits/all paid',0.443931,<100,0.333333,'female div/dep/mar',none,1,'no known property',0.410714,none,'for free',0.333333,'high qualif/self emp/mgmt',0,yes,yes,bad,'\'(37.666667-47]\'','\'(41.4-47]\'','\'(41.4-44.2]\'','\'(41.5-42.5]\''
'no checking',0.029412,'critical/other existing credit',0.054308,100<=X<500,0,'female div/dep/mar',none,0,'life insurance',0.142857,none,own,0.333333,skilled,0,none,yes,good,'\'(-inf-28.333333]\'','\'(24.6-30.2]\'','\'(24.6-27.4]\'','\'(26.5-27.5]\''
0<=X<200,0.029412,'existing paid',0.006493,'no known savings',1,'male single',none,1,'life insurance',0.339286,none,own,0,skilled,0,none,yes,good,'\'(37.666667-47]\'','\'(35.8-41.4]\'','\'(35.8-38.6]\'','\'(37.5-38.5]\''
<0,0.117647,'critical/other existing credit',0.103004,<100,0.666667,'male single',none,0.333333,'real estate',0.357143,none,rent,0.333333,'unskilled resident',1,none,no,good,'\'(37.666667-47]\'','\'(35.8-41.4]\'','\'(38.6-41.4]\'','\'(38.5-39.5]\''
<0,0.294118,'existing paid',0.151095,'no known savings',0.333333,'male mar/wid',none,1,car,0.017857,none,own,0,skilled,0,none,yes,bad,'\'(-inf-28.333333]\'','\'(-inf-24.6]\'','\'(-inf-21.8]\'','\'(-inf-21.5]\''
0<=X<200,0.470588,'existing paid',0.483328,100<=X<500,1,'male single','co applicant',0,'no known property',0.178571,none,rent,0,'high qualif/self emp/mgmt',0,yes,yes,bad,'\'(28.333333-37.666667]\'','\'(24.6-30.2]\'','\'(27.4-30.2]\'','\'(28.5-29.5]\''
'no checking',0.294118,'critical/other existing credit',0.073457,<100,1,'male single',none,0.666667,'life insurance',0.375,none,own,0.333333,skilled,0,none,yes,good,'\'(37.666667-47]\'','\'(35.8-41.4]\'','\'(38.6-41.4]\'','\'(39.5-40.5]\''
0<=X<200,0.205882,'existing paid',0.05783,<100,1,'male mar/wid',guarantor,0.333333,'real estate',0.232143,none,own,0,'unskilled resident',0,none,yes,good,'\'(28.333333-37.666667]\'','\'(30.2-35.8]\'','\'(30.2-33]\'','\'(31.5-32.5]\''
>=200,0.029412,'critical/other existing credit',0.05904,100<=X<500,0.333333,'male div/sep',none,1,car,0.160714,none,own,0.333333,skilled,1,yes,yes,good,'\'(-inf-28.333333]\'','\'(24.6-30.2]\'','\'(27.4-30.2]\'','\'(27.5-28.5]\''
<0,0.294118,'existing paid',0.158083,<100,1,'female div/dep/mar',none,0,'life insurance',0.142857,none,own,0,skilled,0,none,yes,bad,'\'(-inf-28.333333]\'','\'(24.6-30.2]\'','\'(24.6-27.4]\'','\'(26.5-27.5]\''
<0,0.470588,'existing paid',0.288489,<100,0.333333,'male single',none,1,'no known property',0.410714,none,'for free',0,skilled,1,none,yes,good,'\'(37.666667-47]\'','\'(41.4-47]\'','\'(41.4-44.2]\'','\'(41.5-42.5]\''
>=200,0.073529,'existing paid',0.048201,100<=X<500,0.333333,'male div/sep',none,1,'real estate',0.535714,none,own,0,skilled,0,none,yes,good,'\'(47-56.333333]\'','\'(47-52.6]\'','\'(47-49.8]\'','\'(48.5-50.5]\''
0<=X<200,0.294118,'critical/other existing credit',0.053153,100<=X<500,1,'male single',none,1,'no known property',0.339286,bank_stores,own,0.333333,skilled,1,none,yes,bad,'\'(37.666667-47]\'','\'(35.8-41.4]\'','\'(35.8-38.6]\'','\'(37.5-38.5]\''
<0,0.294118,'existing paid',0.052658,<100,1,'female div/dep/mar',none,1,'life insurance',0.089286,none,rent,0,skilled,0,none,yes,bad,'\'(-inf-28.333333]\'','\'(-inf-24.6]\'','\'(21.8-24.6]\'','\'(23.5-24.5]\''
'no checking',0.088235,'existing paid',0.05827,'no known savings',1,'male single',guarantor,1,'life insurance',0.142857,none,own,0,'unskilled resident',0,none,yes,bad,'\'(-inf-28.333333]\'','\'(24.6-30.2]\'','\'(24.6-27.4]\'','\'(26.5-27.5]\''
>=200,0.161765,'critical/other existing credit',0.1161,500<=X<1000,0.333333,'male single',none,0.333333,car,0.303571,none,own,0,skilled,0,yes,yes,good,'\'(28.333333-37.666667]\'','\'(35.8-41.4]\'','\'(35.8-38.6]\'','\'(35.5-36.5]\''
0<=X<200,0.161765,'all paid',0.363156,100<=X<500,0,'male single',none,0.333333,'life insurance',0.267857,none,own,0,'high qualif/self emp/mgmt',1,yes,yes,bad,'\'(28.333333-37.666667]\'','\'(30.2-35.8]\'','\'(33-35.8]\'','\'(33.5-34.5]\''
'no checking',0.294118,'existing paid',0.063993,<100,1,'male mar/wid',none,0.333333,'life insurance',0.160714,none,own,0,skilled,0,none,yes,good,'\'(-inf-28.333333]\'','\'(24.6-30.2]\'','\'(27.4-30.2]\'','\'(27.5-28.5]\''
'no checking',0.514706,'existing paid',0.458787,100<=X<500,1,'male single',none,0.333333,car,0.464286,none,own,0,'high qualif/self emp/mgmt',0,yes,yes,good,'\'(37.666667-47]\'','\'(41.4-47]\'','\'(44.2-47]\'','\'(44.5-46.5]\''
<0,0.117647,'existing paid',0.028007,<100,1,'male single',none,0.333333,'real estate',0.125,none,own,0,skilled,0,none,yes,bad,'\'(-inf-28.333333]\'','\'(24.6-30.2]\'','\'(24.6-27.4]\'','\'(25.5-26.5]\''
'no checking',0.470588,'existing paid',0.244085,<100,0.333333,'male single',none,0.333333,'no known property',0.232143,none,'for free',0,'high qualif/self emp/mgmt',0,yes,yes,good,'\'(28.333333-37.666667]\'','\'(30.2-35.8]\'','\'(30.2-33]\'','\'(31.5-32.5]\''
>=200,0.161765,'existing paid',0.134093,<100,0.333333,'male single',none,1,'life insurance',0.125,none,rent,0,skilled,0,yes,yes,good,'\'(-inf-28.333333]\'','\'(24.6-30.2]\'','\'(24.6-27.4]\'','\'(25.5-26.5]\''
0<=X<200,0.117647,'delayed previously',0.018433,<100,1,'male mar/wid','co applicant',1,'real estate',0.017857,none,rent,0.333333,skilled,0,none,yes,good,'\'(-inf-28.333333]\'','\'(-inf-24.6]\'','\'(-inf-21.8]\'','\'(-inf-21.5]\''
'no checking',0.294118,'existing paid',0.110322,'no known savings',1,'male single',none,0,'life insurance',0.625,none,own,0,skilled,0,none,yes,good,'\'(47-56.333333]\'','\'(52.6-58.2]\'','\'(52.6-55.4]\'','\'(53.5-56.5]\''
<0,0.029412,'critical/other existing credit',0.019753,<100,1,'female div/dep/mar',none,0.666667,'life insurance',0.321429,none,own,0.333333,skilled,0,none,no,good,'\'(28.333333-37.666667]\'','\'(35.8-41.4]\'','\'(35.8-38.6]\'','\'(36.5-37.5]\''
<0,0.029412,'critical/other existing credit',0.061131,<100,0.333333,'male single',none,1,'real estate',0.375,none,own,0,'unskilled resident',1,none,no,good,'\'(37.666667-47]\'','\'(35.8-41.4]\'','\'(38.6-41.4]\'','\'(39.5-40.5]\''
'no checking',0.470588,'critical/other existing credit',0.378398,<100,0.333333,'female div/dep/mar',none,1,'life insurance',0.071429,none,rent,0.333333,skilled,0,yes,yes,bad,'\'(-inf-28.333333]\'','\'(-inf-24.6]\'','\'(21.8-24.6]\'','\'(22.5-23.5]\''
<0,0.029412,'existing paid',0.052438,100<=X<500,0.666667,'male single',none,0.333333,'life insurance',0.428571,none,own,0,skilled,0,yes,yes,good,'\'(37.666667-47]\'','\'(41.4-47]\'','\'(41.4-44.2]\'','\'(42.5-44.5]\''
'no checking',0.029412,'critical/other existing credit',0.024761,'no known savings',1,'male single',none,1,'no known property',0.303571,none,'for free',0.333333,skilled,0,none,yes,good,'\'(28.333333-37.666667]\'','\'(35.8-41.4]\'','\'(35.8-38.6]\'','\'(35.5-36.5]\''
'no checking',0.294118,'critical/other existing credit',0.289259,<100,0.666667,'male single',none,1,'no known property',0.446429,none,'for free',0.333333,skilled,0,none,yes,good,'\'(37.666667-47]\'','\'(41.4-47]\'','\'(41.4-44.2]\'','\'(42.5-44.5]\''
<0,0.205882,'existing paid',0.16177,<100,0.333333,'female div/dep/mar',none,0.333333,'real estate',0.089286,none,own,0,skilled,0,none,yes,bad,'\'(-inf-28.333333]\'','\'(-inf-24.6]\'','\'(21.8-24.6]\'','\'(23.5-24.5]\''
<0,0.647059,'no credits/all paid',0.377958,<100,0.666667,'male single',none,1,'no known property',0.607143,none,'for free',0.333333,skilled,1,none,yes,bad,'\'(47-56.333333]\'','\'(52.6-58.2]\'','\'(52.6-55.4]\'','\'(50.5-53.5]\''
'no checking',0.294118,'existing paid',0.178167,100<=X<500,0.666667,'female div/dep/mar',none,1,car,0.071429,none,own,0,skilled,0,none,yes,good,'\'(-inf-28.333333]\'','\'(-inf-24.6]\'','\'(21.8-24.6]\'','\'(22.5-23.5]\''
0<=X<200,0.205882,'existing paid',0.047485,<100,1,'female div/dep/mar',guarantor,1,'real estate',0.125,none,own,0,'unskilled resident',1,none,yes,good,'\'(-inf-28.333333]\'','\'(24.6-30.2]\'','\'(24.6-27.4]\'','\'(25.5-26.5]\''
0<=X<200,0.323529,'existing paid',0.424563,<100,0.333333,'male single',none,0.666667,car,0.196429,none,own,0.333333,skilled,0,none,yes,good,'\'(28.333333-37.666667]\'','\'(24.6-30.2]\'','\'(27.4-30.2]\'','\'(29.5-30.5]\''
'no checking',0.161765,'critical/other existing credit',0.07054,100<=X<500,1,'female div/dep/mar',none,0.666667,car,0.214286,none,own,0,skilled,0,none,yes,good,'\'(28.333333-37.666667]\'','\'(30.2-35.8]\'','\'(30.2-33]\'','\'(30.5-31.5]\''
'no checking',0,'critical/other existing credit',0.068945,<100,0.333333,'male single',none,0,'real estate',0.410714,none,own,0.333333,'unskilled resident',1,none,yes,good,'\'(37.666667-47]\'','\'(41.4-47]\'','\'(41.4-44.2]\'','\'(41.5-42.5]\''
<0,0.470588,'existing paid',0.112909,<100,1,'male div/sep',none,1,car,0.214286,none,rent,0,skilled,0,none,yes,bad,'\'(28.333333-37.666667]\'','\'(30.2-35.8]\'','\'(30.2-33]\'','\'(30.5-31.5]\''
<0,0.029412,'existing paid',0.02267,<100,0.666667,'male single',none,1,'real estate',0.392857,none,own,0,'unskilled resident',1,yes,yes,good,'\'(37.666667-47]\'','\'(35.8-41.4]\'','\'(38.6-41.4]\'','\'(40.5-41.5]\''
0<=X<200,0.470588,'existing paid',0.111313,<100,0.666667,'male single',none,0,car,0.232143,none,own,0.333333,skilled,1,none,yes,good,'\'(28.333333-37.666667]\'','\'(30.2-35.8]\'','\'(30.2-33]\'','\'(31.5-32.5]\''
0<=X<200,0.161765,'existing paid',0.131011,100<=X<500,0.333333,'female div/dep/mar',none,1,car,0.160714,none,rent,0.333333,skilled,0,yes,yes,bad,'\'(-inf-28.333333]\'','\'(24.6-30.2]\'','\'(27.4-30.2]\'','\'(27.5-28.5]\''
'no checking',0.117647,'delayed previously',0.068945,<100,1,'male mar/wid',none,1,'real estate',0.392857,none,rent,0,skilled,0,none,yes,good,'\'(37.666667-47]\'','\'(35.8-41.4]\'','\'(38.6-41.4]\'','\'(40.5-41.5]\''
'no checking',0.294118,'existing paid',0.05838,100<=X<500,1,'male mar/wid',none,0.666667,'life insurance',0.125,none,own,0,skilled,0,yes,yes,good,'\'(-inf-28.333333]\'','\'(24.6-30.2]\'','\'(24.6-27.4]\'','\'(25.5-26.5]\''
'no checking',0.294118,'existing paid',0.157093,'no known savings',1,'male single',none,0.333333,car,0.107143,none,own,0.333333,skilled,0,none,yes,good,'\'(-inf-28.333333]\'','\'(24.6-30.2]\'','\'(24.6-27.4]\'','\'(24.5-25.5]\''
>=200,0.25,'critical/other existing credit',0.113844,<100,0.333333,'male div/sep',none,0,car,0.25,none,rent,0,skilled,0,none,yes,bad,'\'(28.333333-37.666667]\'','\'(30.2-35.8]\'','\'(30.2-33]\'','\'(32.5-33.5]\''
<0,0.029412,'existing paid',0.061847,'no known savings',1,'female div/dep/mar',none,0.666667,'life insurance',1,none,own,0,'high qualif/self emp/mgmt',0,yes,yes,good,'\'(65.666667-inf)\'','\'(69.4-inf)\'','\'(72.2-inf)\'','\'(64.5-inf)\''
0<=X<200,0.205882,'critical/other existing credit',0.18499,<100,0.666667,'female div/dep/mar',none,1,'life insurance',0.321429,none,own,0,skilled,0,yes,yes,good,'\'(28.333333-37.666667]\'','\'(35.8-41.4]\'','\'(35.8-38.6]\'','\'(36.5-37.5]\''
<0,0.647059,'existing paid',0.413393,<100,1,'male single',none,1,'no known property',0.410714,bank_stores,'for free',0,'high qualif/self emp/mgmt',0,none,yes,bad,'\'(37.666667-47]\'','\'(41.4-47]\'','\'(41.4-44.2]\'','\'(41.5-42.5]\''
>=200,0.205882,'existing paid',0.154011,<100,0,'female div/dep/mar',none,0,'life insurance',0.464286,bank_stores,own,0,'unskilled resident',0,none,yes,good,'\'(37.666667-47]\'','\'(41.4-47]\'','\'(44.2-47]\'','\'(44.5-46.5]\''
0<=X<200,0.117647,'existing paid',0.07065,<100,0,'male mar/wid',none,0,'real estate',0.071429,none,rent,0,skilled,0,none,yes,bad,'\'(-inf-28.333333]\'','\'(-inf-24.6]\'','\'(21.8-24.6]\'','\'(22.5-23.5]\''
'no checking',0.294118,'delayed previously',0.098052,<100,1,'male single',none,1,'no known property',0.732143,none,'for free',0.333333,skilled,0,yes,yes,good,'\'(56.333333-65.666667]\'','\'(58.2-63.8]\'','\'(58.2-61]\'','\'(56.5-60.5]\''
<0,0.382353,'existing paid',0.335644,'no known savings',1,'male single',none,1,'life insurance',0.214286,none,own,0,skilled,0,none,yes,bad,'\'(28.333333-37.666667]\'','\'(30.2-35.8]\'','\'(30.2-33]\'','\'(30.5-31.5]\''
>=200,0.205882,'existing paid',0.143832,<100,0.333333,'male single',none,0,'real estate',0.267857,none,own,0,'unskilled resident',1,none,yes,bad,'\'(28.333333-37.666667]\'','\'(30.2-35.8]\'','\'(33-35.8]\'','\'(33.5-34.5]\''
'no checking',0.117647,'critical/other existing credit',0.055299,<100,1,'male single',none,1,'real estate',0.75,none,own,0.333333,'unskilled resident',0,none,yes,good,'\'(56.333333-65.666667]\'','\'(58.2-63.8]\'','\'(58.2-61]\'','\'(60.5-64.5]\''
<0,0.294118,'delayed previously',0.059591,<100,1,'male single',none,0.333333,'real estate',0.428571,none,'for free',0.333333,skilled,1,none,yes,bad,'\'(37.666667-47]\'','\'(41.4-47]\'','\'(41.4-44.2]\'','\'(42.5-44.5]\''
'no checking',0.294118,'critical/other existing credit',0.097502,<100,1,'female div/dep/mar',none,1,car,0.321429,none,own,0,skilled,0,yes,yes,good,'\'(28.333333-37.666667]\'','\'(35.8-41.4]\'','\'(35.8-38.6]\'','\'(36.5-37.5]\''
'no checking',0.294118,'existing paid',0.071641,<100,0.666667,'male single',none,0,car,0.232143,bank_stores,own,0,skilled,1,none,yes,good,'\'(28.333333-37.666667]\'','\'(30.2-35.8]\'','\'(30.2-33]\'','\'(31.5-32.5]\''
<0,0.117647,'all paid',0.020689,<100,1,'female div/dep/mar',none,1,'real estate',0.089286,bank_stores,own,0,'unskilled resident',0,none,yes,bad,'\'(-inf-28.333333]\'','\'(-inf-24.6]\'','\'(21.8-24.6]\'','\'(23.5-24.5]\''
'no checking',0.647059,'critical/other existing credit',0.473644,'no known savings',0.333333,'male single',none,0,'no known property',0.285714,none,'for free',0.333333,skilled,0,yes,yes,good,'\'(28.333333-37.666667]\'','\'(30.2-35.8]\'','\'(33-35.8]\'','\'(34.5-35.5]\''
'no checking',0.117647,'critical/other existing credit',0.041048,'no known savings',1,'female div/dep/mar',none,1,'real estate',0.071429,none,own,0.333333,skilled,0,none,yes,good,'\'(-inf-28.333333]\'','\'(-inf-24.6]\'','\'(21.8-24.6]\'','\'(22.5-23.5]\''
'no checking',0.029412,'all paid',0.082535,500<=X<1000,0.333333,'male single',none,1,'life insurance',0.464286,bank_stores,own,0,'unskilled resident',1,none,yes,good,'\'(37.666667-47]\'','\'(41.4-47]\'','\'(44.2-47]\'','\'(44.5-46.5]\''
<0,0.647059,'existing paid',0.371355,<100,0,'male mar/wid',guarantor,0,'real estate',0.267857,none,own,0.333333,skilled,0,yes,yes,bad,'\'(28.333333-37.666667]\'','\'(30.2-35.8]\'','\'(33-35.8]\'','\'(33.5-34.5]\''
0<=X<200,0.117647,'critical/other existing credit',0.096016,100<=X<500,1,'male single',none,0,car,0.142857,none,own,0,skilled,0,none,yes,good,'\'(-inf-28.333333]\'','\'(24.6-30.2]\'','\'(24.6-27.4]\'','\'(26.5-27.5]\''
0<=X<200,0.073529,'existing paid',0.052217,<100,1,'female div/dep/mar',none,1,'life insurance',0.857143,none,own,0.333333,'high qualif/self emp/mgmt',0,yes,yes,good,'\'(65.666667-inf)\'','\'(63.8-69.4]\'','\'(66.6-69.4]\'','\'(64.5-inf)\''
0<=X<200,0.117647,'existing paid',0.059481,<100,0.333333,'male single',none,0,car,0.053571,bank_stores,own,0,skilled,0,none,yes,bad,'\'(-inf-28.333333]\'','\'(-inf-24.6]\'','\'(21.8-24.6]\'','\'(21.5-22.5]\''
0<=X<200,0.205882,'no credits/all paid',0.111588,100<=X<500,0.666667,'female div/dep/mar',none,0.666667,car,0.160714,none,own,0.333333,skilled,0,none,yes,bad,'\'(-inf-28.333333]\'','\'(24.6-30.2]\'','\'(27.4-30.2]\'','\'(27.5-28.5]\''
'no checking',0.25,'no credits/all paid',0.261527,'no known savings',0,'female div/dep/mar',none,1,'life insurance',0.178571,bank_stores,own,0.333333,skilled,0,yes,yes,bad,'\'(28.333333-37.666667]\'','\'(24.6-30.2]\'','\'(27.4-30.2]\'','\'(28.5-29.5]\''
<0,0.294118,'all paid',0.181688,<100,0.666667,'male single',none,1,car,0.142857,bank_stores,own,0,skilled,0,none,yes,bad,'\'(-inf-28.333333]\'','\'(24.6-30.2]\'','\'(24.6-27.4]\'','\'(26.5-27.5]\''
0<=X<200,0.205882,'critical/other existing credit',0.09233,<100,0.333333,'male single',none,0.333333,'real estate',0.214286,none,own,0.333333,'unskilled resident',0,none,yes,bad,'\'(28.333333-37.666667]\'','\'(30.2-35.8]\'','\'(30.2-33]\'','\'(30.5-31.5]\''
